,dataset_uid,title,description
384,da_ot74cj@drees2-sgsocialgouv,"Nombre moyen de trimestres validés à 30 ans, par sexe et par génération (1942:1982) (EIC 2013)",
385,da_fcgyzu@namur,Namur - Mouvement de population - Taux de natalité,"<p style=""font-family: sans-serif;"">Statistiques Population de Namur - Indicateur : Taux de Natalité avec distinction Hommes et Femmes par quartier. Chiffres collectés au 1er janvier de chaque année depuis 1985.</p><p style=""font-family: sans-serif;"">Ce jeu de données est utilisé sur le Portail ""Statistiques des 46 quartiers de Namur"", onglet <a href=""https://data.namur.be/pages/statistiquesaccueil/"">O</a>bservatoire démographique de l’OPENDATA de la commune de Namur. </p>"
386,da_pdg35d@rennes-metropole,Décès - Ville de Vezin Le Coquet,"<p>Fichier recensant le nombre de décès vezinois depuis 2020. Les données 
sont ventilées par sexe. Sont renseignés les 
statistiques sur les lieux de décès ainsi que sur les tranches d'ages.</p>"
387,da_vbwp5v@namur,Namur - Mouvement de population - Entrées en provenance d'une autre commune - Chiffres absolus,"<p style=""font-family: sans-serif;"">Statistiques Population de Namur - Mouvement de population - Entrées des hommes et femmes en provenance d'une autre commune. Immigration nationale. Chiffres absolus par groupes d'âges de 5 en 5 ans. - Chiffres collectés au 1er janvier de chaque année depuis 1985.</p><p style=""font-family: sans-serif; margin-bottom: 0px;"">Ce jeu de données est utilisé sur le Portail ""Statistiques des 46 quartiers de Namur"", onglet <a href=""https://data.namur.be/pages/statistiquesaccueil/"" style=""color: rgb(35, 82, 124); text-decoration: underline; outline: 0px;"">Observatoire démographique</a> de l’OPENDATA de la commune de Namur. </p><p><br/></p>"
388,da_m74y4a@breizh,Base SIRENE - Région Bretagne,"<p>Retrouvez toutes les entreprises et leurs établissements. La base Sirene® est actualisée tous les jours, elle regroupe environ 30 millions d'établissements en activité ou non. </p><p>Données basées sur le stock de 2024-07.</p><h3><b>IMPORTANT</b></h3><p>La base Sirene contenant des données à caractère personnel, l'Insee attire votre attention sur les obligations légales qui en découlent :</p><ul><li>Le traitement de ces données relève des obligations de déclaration de la Loi 78-17 du 6 janvier 1978 modifiée, dite Loi CNIL : <a href=""https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee"" target=""_blank"">https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee</a></li><li>Selon votre usage du jeu de données, il est de votre responsabilité de tenir compte du statut de diffusion le plus récent de chaque personne physique.</li></ul><p>En effet, l'article A123-96 du code de commerce dispose que :</p><blockquote><p>""Toute personne physique peut demander soit directement lors de ses formalités de création ou de modification, soit par lettre adressée au directeur général de l'Institut national de la statistique et des études économiques, que les informations du répertoire la concernant ne puissent être utilisées par des tiers autres que les organismes habilités au titre de l'article R. 123-224 ou les administrations, à des fins de prospection, notamment commerciale.""</p></blockquote><h3><b>SIRENE BY ODS</b></h3><p>ODS présente une base des établissements consolidée avec les données de son unité légale associée.</p><h4><b>Enrichissements</b></h4><ul><li>ajout des libellés des codes NAF et catégories juridiques;</li><li>ajout des libellés tranches légales et des types de voie;</li><li>ajout des hierarchies administratives (reg/arr/dep/epci);</li><li>ajout de la géolocalisation des établissements via un géocodage BAN;</li><li>changement de certaines abréviations (F/M, O/N, A/C) par le libellé correspondant (sexeunitelegale, etatadministratifunitelegale, caractereemployeurunitelegale, etatadministratifetablissement, etablissementsiege, caractereemployeuretablissement)</li><li>ajout d'un champ ""première ligne d'adressage"" avec la civilité + nom prénom personne de l'unité legale</li><li>ajout d'un champ adresse établissement (concaténation num + type + voie)</li></ul><h4><b>Notes</b></h4><ul><li>les valeurs de ""date de début de l’établissement"" ont été reconstruites à partir d’une ancienne version pour une centaine d’enregistrements dont les valeurs étaient incohérentes.<br></li></ul><p></p>"
389,da_kvb7sq@drees2-sgsocialgouv,Les conditions de vie des bénéficiaires de minima sociaux et de la prime d’activité tirées de l’enquête BMS 2018,"<p><span style='background: white; color: rgb(51, 51, 51); font-family: ""Open Sans"",sans-serif; font-size: 10.5pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: FR; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;'>Ce fichier présente des statistiques descriptives sur les
caractéristiques des bénéficiaires d'un revenu minima garanti, leurs taux de
pauvreté en condition de vie, etc.  selon la prestation perçue et
différentes variables catégorielles (sexe, âge, lieu de naissance, etc.).  </span><br/></p>"
390,da_mcw7rz@datailedefrance,Bilan des effectifs de la formation régionale 2011,"<p>
	<span style=""line-height: 1.45em;"">Ce jeu de données est construit chaque année à partir de l'enquête DARES.</span>
</p>
<p>
	Ces données recensent l’ensemble des stagiaires entrés sur les dispositifs régionaux (nombre de stagiaires, par genre, par âge, la répartition des heures…). A noter que son contenu fait l’objet d’un contrôle individuel important et que la qualité des données peut être inégale.
</p>
<p>
	Indications de lecture :
</p>
<ul>
	<li>nc : Non Communiqué</li>
	<li>nd : Non Disponible</li>
</ul>"
391,da_lcxi5c@bahrain,Number of Governmental Schools by Type of School and Sex,
392,da_ul5qg9@leicester,Claimant Count by Age and Sex Latest,"<p style=""font-family: sans-serif; margin: 0cm 0cm 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 12pt; font-family: Arial, sans-serif;"">This dataset uses ONS Claimant Count estimates to monitor unemployment in Leicester. Claimant data by age and sex are presented here for Leicester and England to allow for comparison. This dataset shows data for the latest available month only.<o:p></o:p></span></p><p style=""font-family: sans-serif; margin: 0cm 0cm 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 12pt; font-family: Arial, sans-serif;"">Claimant Count is the number of people claiming Universal Credit or Jobseekers' Allowance principally for the reason of being unemployed.<o:p></o:p></span></p><p style=""font-family: sans-serif; margin: 0cm 0cm 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 12pt; font-family: Arial, sans-serif;"">Claimant Count is a useful proxy for unemployment because it is the most comprehensive unemployment-related dataset published at geographies smaller than the local authority level. While there is significant overlap, it is not the same as the national measure for unemployment, which is based on estimates from the Labour Force Survey and Annual Population Survey.<o:p></o:p></span></p><p style=""font-family: sans-serif; margin: 0cm 0cm 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 12pt; font-family: Arial, sans-serif;"">Claimant Count is best used for understanding short term changes in the labour market and the relative position of small areas.<o:p></o:p></span></p><p style=""font-family: sans-serif; margin: 0cm 0cm 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 12pt; font-family: Arial, sans-serif;"">Rates are calculated using ONS mid-year estimates for the 16-64 year old population as a denominator.</span></p><p style=""font-family: sans-serif; margin: 0cm 0cm 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 12pt; font-family: Arial, sans-serif;"">The ONS does not publish claimant count rate estimates for the age bands presented here, so these are not official estimates and should be treated with caution.</span></p><p style=""font-family: sans-serif; margin: 0cm 0cm 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><br/></p><p style=""font-family: sans-serif; margin: 0cm; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 12pt; font-family: Arial, sans-serif;"">Further information: <br/><a href=""https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/methodologies/aguidetolabourmarketstatistics#introduction"" target=""_blank""><span style='font-family: ""inherit"", serif;'>https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/methodologies/aguidetolabourmarketstatistics#introduction</span></a> </span></p>"
393,da_yphz24@opendata-lamayenne-fr-paysdelaloire,"Evolution et structure de la population en Mayenne, depuis 1968","<p>Population par âge quinquennal et par sexe aux recensements de 1968 à 2020, séries communales </p><p>Les séries sont établies à partir des exploitations complémentaires (par sondage) des recensements de 1968 à 2020.
</p><p>
Les données portent sur la population par âge révolu (en 20 tranches quinquennales) et par sexe. </p><p><br/></p>"
394,da_xi669b@parisdata,Bilan Social - Accident de travail et de trajet par corps - 2013 à 2015,"<p><strong>Accident de trajet :</strong></p><p>Accident survenu lors du parcours entre le lieu du travail et le domicile ou le lieu de restauration, à l’heure normale. Les données présentées concernent les fonctionnaires et les contractuels. Elles indiquent, par collectivité, par corps, par sexe, le nombre d’accidents de trajet ainsi que le nombre de jours d’arrêt de travail qui leur sont associés.</p><p><strong style=""background-color: initial;"">Accident de service-travail:</strong></p><p><strong style=""background-color: initial;""></strong>Accident de service des fonctionnaires et accident du travail des agents non‑titulaires. Ces accidents surviennent lorsque l’agent est sous l’autorité de l’employeur, pendant le temps et sur le lieu de travail. Les accidents de mission qui surviennent lors d’un déplacement dans le cadre des obligations professionnelles sont inclus dans les accidents du travail.  Les données présentées concernent les fonctionnaires et les contractuels. Elles indiquent, par collectivité, par corps, par sexe, le nombre d’accidents de service ainsi que le nombre de jours d’arrêt de travail qui leur sont associés. </p><p>Le <strong>bilan social</strong> de la collectivité parisienne fournit, chaque année, les informations quantitatives mais aussi qualitatives sur les ressources humaines de la Ville de Paris. Il retrace l’évolution des principaux indicateurs relatifs à la politique des ressources humaines, qu’il s’agisse des effectifs, des rémunérations, de l’hygiène et de la sécurité, des carrières et de la formation ou encore des conditions de travail et des relations sociales.</p><p>Lien vers le jeu de données <a href=""https://opendata.paris.fr/explore/dataset/bilan-social-accident-de-travail-et-de-trajet-par-corps-depuis-2016/information"">Bilan Social - Accident de travail et de trajet par corps - Depuis 2016</a></p>"
395,da_9rtr52@hauts-de-seine,Etablissements habilités au titre de l'aide sociale à l'enfance (ASE),"<p>
	Liste des établissements habilités au titre de l'ASE par le Département des Hauts-de-Seine.
</p>
<hr>
<p>
	Ce jeu de données présente la liste des différents établissements habilités au titre de l'aide sociale à l'enfance dans les Hauts-de-Seine. Cette liste permet de connaître l'implantation et les caractéristiques de ces établissements sur le territoire départemental. Elle montre également les différents modes de prise en charge des enfants et jeunes majeurs suivis par les services de l'aide sociale à l'enfance sur le département.
</p>
<p>
	<strong>Lexique</strong>
</p>
<dl>
	<dt>Accueil de jour</dt>
		<dd>Ces services sont des outils de prévention de la séparation et des alternatives au placement ;  ils accueillent des mineurs (ou majeurs) pendant tout ou partie de la journée, dans un lieu situé, si possible, à proximité de leur domicile, afin de leur apporter un soutien éducatif, ainsi qu'un accompagnement à leur famille dans l'exercice de leur fonction parentale. Cet accueil se fait à la demande des parents sur décision du Président du Conseil départemental ou sur décision du Juge des enfants.</dd>
	<dt>Accueil d'urgence</dt>
		<dd>Les foyers d'accueil d'urgence, ouverts 24h sur 24 et 365 jours par an, ont pour mission d'accueillir tout mineur en risque de danger ou en danger confié par sa famille ou par mesure judiciaire au service de l'Aide sociale à l'enfance. Les objectifs d'un placement en foyer sont d'assurer la sécurité de l'enfant, sa santé, son éducation, son développement social et culturel, et son épanouissement personnel. Ce sont des lieux de transition qui permettent de mettre un jeune à l’abri puis de travailler l’observation, l’évaluation et l’orientation vers une structure adaptée.</dd>
	<dt>Accueil modulable</dt>
		<dd>L’accueil modulable est une modalité d’accompagnement alternative, entre l’accompagnement éducatif à domicile et le placement : dans les Hauts-de Seine, c’est une action éducative en milieu ouvert soutenue ou une action éducative à domicile soutenue, avec possibilité d’hébergement. Un tel accueil modulable peut être mis en place dans un cadre administratif avec l’accord des parents, ou dans un cadre judiciaire.</dd>
	<dt>Aide sociale à l’enfance</dt>
		<dd>Le service de l’aide sociale à l’enfance est un service non personnalisé du Conseil départemental, chargé, entre autres, d’apporter un soutien matériel, éducatif et psychologique aux mineurs, à leur famille, aux mineurs émancipés et aux majeurs de moins de 21 ans confrontés à des difficultés sociales susceptibles de compromettre gravement leur équilibre.</dd>
	<dt>AED</dt>
		<dd>L'action éducative à domicile est une mesure de protection qui apporte un soutien éducatif aux parents, aux enfants et aux jeunes dans leur milieu de vie familial habituel, au sein duquel il existe des difficultés matérielles, éducatives, relationnelles ou psychologiques. Elle est attribuée sur la demande et avec l'accord des parents.</dd>
	<dt>AEMO</dt>
		<dd>L'action éducative en milieu ouvert est une mesure d'assistance éducative ordonnée par le Juge des enfants au bénéfice d'un ou plusieurs enfants d'une même famille. Elle est destinée à apporter aide et conseil à des parents dans leur rôle auprès de leurs enfants.</dd>
	<dt>Centre maternel</dt>
		<dd>Etablissement qui accueille des femmes enceintes et des mères isolées accompagnées de leurs enfants de moins de 3 ans et qui ont besoin d'un soutien matériel et psychologique. Les établissements associatifs des Hauts de Seine proposent depuis juillet 2018 des places de centre parental. Sont pris en charge dans un centre parental, au titre de la protection de l’enfance, les enfants de moins de trois ans accompagnés de leurs deux parents quand ceux-ci ont besoin d’un soutien éducatif dans l’exercice de leur fonction parentale. Peuvent également être accueillis, dans les mêmes conditions, les deux futurs parents pour préparer la naissance de l’enfant.</dd>
	<dt>Foyer</dt>
		<dd>Structure d'accueil et de prise en charge collective de mineurs et/ou jeunes majeurs placés par les juridictions de l'enfance et les services de l'Aide sociale à l'enfance.</dd>
	<dt>MECS</dt>
		<dd>Une Maison d'enfants à caractère social est un établissement social ou médico-social, spécialisé dans l'accueil temporaire des mineurs.</dd>
	<dt>Placement familial</dt>
		<dd>Le placement familial permet l’accueil habituel et de permanent de mineurs et majeurs de moins de 21 ans au domicile d’un assistant familial, agréé par le Conseil départemental. L’assistant familial constitue, avec l’ensemble des personnes résidant à son domicile, une famille d’accueil. Il peut être employé directement par le service départemental de l’aide sociale à l’enfance ou par une association habilitée à mener cette activité par le Président du Conseil départemental. </dd>
	<dt>Pouponnière</dt>
		<dd>Il existe deux types de pouponnières : les pouponnières à caractère social et les pouponnières à caractère sanitaire. Les pouponnières à caractère social assurent l'accueil d'enfants de moins de 3 ans qui ne peuvent ni rester au sein de leur famille ni bénéficier d'une prise en charge au sein d'une famille d'accueil et dont l'état de santé ne nécessite pas de soins médicaux. Les pouponnières à caractère sanitaire assurent quant à elles des soins médicaux.</dd>
	<dt>Relais parental</dt>
		<dd>Les relais parentaux proposent des accueils pour les enfants dont les parents sont confrontés à des difficultés temporaires (absence ponctuelle de mode de garde, maladie, hospitalisation, problème familial, problème de logement,...) et qui ne peuvent s'appuyer sur un réseau de solidarité familiale.</dd>
	<dt>Unité d’hébergement diversifié</dt>
		<dd>Ces unités préparent les jeunes à l’autonomie en proposant une prise en charge dans des appartements ou studios avec un suivi éducatif soutenu. Il s’agit de prise en charge dans un cadre judiciaire ou administrative avec l’accord du jeune et de sa famille en cas de minorité</dd>
</dl>
<p>
	<strong>Données connexes</strong>
</p>
<p>
Département des Hauts-de-Seine
	<br>
	<a alt=""La prévention et la protection de l'enfance "" href=""https://www.hauts-de-seine.fr/mon-departement/les-hauts-de-seine/missions-et-actions/solidarites/la-prevention-et-protection-de-lenfance"" target=""_blank"">La prévention et la protection de l'enfance </a><br>
	<a alt=""Les services de solidarité territoriale"" href=""https://www.78-92.fr/annuaire/aides-et-services/detail/les-services-de-solidarite-territoriale-sst-des-hauts-de-seine"" target=""_blank"">Les services de solidarité territoriale</a><br>
	
</p>
<p>
	Legifrance.gouv.fr  <br>
	<a alt=""Article L221-1 du Code de l’action sociale et des familles"" href=""https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000032207383&amp;cidTexte=LEGITEXT000006074069&amp;dateTexte=20180627&amp;oldAction=rechCodeArticle&amp;fastReqId=1478755254&amp;nbResultRech=1"" target=""_blank"">Article L221-1 du Code de l’action sociale et des familles</a><br>
	<a alt=""Loi n°2007-293 du 5 mars 2007 réformant la protection de l’enfance"" href=""https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000823100&amp;fastPos=1&amp;fastReqId=446677438&amp;categorieLien=cid&amp;oldAction=rechTexte"" target=""_blank"">Loi n°2007-293 du 5 mars 2007 réformant la protection de l’enfance</a><br>
	<a alt=""Loi n°2016-297 du 14 mars 2016 relative à la protection de l’enfant"" href=""https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032205234&amp;categorieLien=id"" target=""_blank"">Loi n°2016-297 du 14 mars 2016 relative à la protection de l’enfant</a>
</p>
<p>
	Data.gouv.fr
	<br>
	<a alt=""Les jeux de données relatifs à l’aide sociale à l’enfance"" href=""https://www.data.gouv.fr/fr/search/?q=ase"" target=""_blank"">
	Les jeux de données relatifs à l’aide sociale à l’enfance</a>
</p>"
396,da_cpw8x5@dreux-agglomeration-centrevaldeloire,Base SIRENE (v3 consolidée) des établissements actifs dans l'Agglo du Pays de Dreux,"<p>Retrouvez toutes les entreprises et leurs établissements. La base Sirene® est actualisée tous les jours, elle regroupe environ 30 millions d'établissements en activité ou non. </p><p>Données basées sur le stock de 2024-07.</p><h3><b>IMPORTANT</b></h3><p>La base Sirene contenant des données à caractère personnel, l'Insee attire votre attention sur les obligations légales qui en découlent :</p><ul><li>Le traitement de ces données relève des obligations de déclaration de la Loi 78-17 du 6 janvier 1978 modifiée, dite Loi CNIL : <a href=""https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee"" target=""_blank"">https://www.cnil.fr/fr/loi-78-17-du-6-janvier-1978-modifiee</a></li><li>Selon votre usage du jeu de données, il est de votre responsabilité de tenir compte du statut de diffusion le plus récent de chaque personne physique.</li></ul><p>En effet, l'article A123-96 du code de commerce dispose que :</p><blockquote><p>""Toute personne physique peut demander soit directement lors de ses formalités de création ou de modification, soit par lettre adressée au directeur général de l'Institut national de la statistique et des études économiques, que les informations du répertoire la concernant ne puissent être utilisées par des tiers autres que les organismes habilités au titre de l'article R. 123-224 ou les administrations, à des fins de prospection, notamment commerciale.""</p></blockquote><h3><b>SIRENE BY ODS</b></h3><p>ODS présente une base des établissements consolidée avec les données de son unité légale associée.</p><h4><b>Enrichissements</b></h4><ul><li>ajout des libellés des codes NAF et catégories juridiques;</li><li>ajout des libellés tranches légales et des types de voie;</li><li>ajout des hierarchies administratives (reg/arr/dep/epci);</li><li>ajout de la géolocalisation des établissements via un géocodage BAN;</li><li>changement de certaines abréviations (F/M, O/N, A/C) par le libellé correspondant (sexeunitelegale, etatadministratifunitelegale, caractereemployeurunitelegale, etatadministratifetablissement, etablissementsiege, caractereemployeuretablissement)</li><li>ajout d'un champ ""première ligne d'adressage"" avec la civilité + nom prénom personne de l'unité legale</li><li>ajout d'un champ adresse établissement (concaténation num + type + voie)</li></ul><h4><b>Notes</b></h4><ul><li>les valeurs de ""date de début de l’établissement"" ont été reconstruites à partir d’une ancienne version pour une centaine d’enregistrements dont les valeurs étaient incohérentes.<br></li></ul><p></p>"
397,da_kp9w8w@guadeloupe,"Population active de 15 ans ou plus ayant un emploi par sexe, âge et catégorie socioprofessionnelle en 2015 en Guadeloupe","<p class=""deprecation-message"">
Ce jeu n'est plus maintenu, vous pouvez utiliser <a href=""https://public.opendatasoft.com/explore/dataset/demographyref-france-pop-active-sexe-activite-commune-millesime"" target=""_blank"">ce nouveau jeu de données</a> ou <a href=""https://public.opendatasoft.com/explore/dataset/demographyref-france-pop-active-csp-activite-commune-millesime"" target=""_blank"">celui-ci</a>.<br/>
</p><p>Les données 2015 sont diffusées selon la géographie en vigueur au 1 <sup style=""background-color: initial;"">er</sup> janvier 2017.</p><p>Ces tableaux sont disponibles au niveau commune (y compris arrondissements municipaux) et permettent de procéder à des regroupements personnalisés de territoires.</p>"
398,da_o1yoe4@public,Représentation féminine au sein des chambres consulaires territoriales (CCIT),"<p>
	Représentation des femmes au sein des chambres consulaires territoriales (CCIT), pour la mandature 2010-2015, à l'exception des DOM-TOM. Source des données: étude d'impact projet de loi et CCI France.
</p>
<p>
	Issu de l'Open Data Camp Etalab (28/11/2013).
</p>"
399,da_7tb44u@tco-lareunion,"Population active de 15 ans ou plus ayant un emploi par sexe, lieu de travail et moyen de transport - CA Territoire de l'Ouest","<p>Ce jeu de donnée détaille le nombre de personnes travaillant dans chaque commune en les distinguant par : </p><p>- Proximité de la commune de résidence</p><p>- Sexe</p><p>- Moyen de transport </p><p>Ces résultats sont issus du recensement 2016.</p><p>Le recensement de la population permet de connaître la diversité et l'évolution de la population de la France. L’Insee fournit ainsi des statistiques sur les habitants et les logements, leur nombre et leurs caractéristiques : répartition par sexe et âge, professions, conditions de logement, modes de transport, déplacements domicile-travail, etc.</p><p>Les effectifs supérieurs à 500 peuvent normalement être utilisés en toute confiance. Les effectifs inférieurs à 200 doivent être maniés avec précaution, car, en raison de l'imprécision liée au sondage, ils peuvent ne pas être significatifs. Les comparaisons entre territoires de petites tailles sont à proscrire.</p><p>Pour des zones de moins de 2 000 habitants, il est recommandé de ne pas utiliser les données issues de l'exploitation complémentaire.</p><p>Pour plus d'information méthodologique, vous pouvez consulter les fiches ""Conseils pour l'utilisation des résultats du recensement"" en cliquant sur le lien ci-dessous.</p><p>Ces fiches présentent les caractéristiques nouvelles du recensement de la population et traitent de leurs conséquences sur l'utilisation des données. Elles précisent en particulier les changements affectant les principales variables statistiques et leur comparabilité avec les recensements précédents</p>"
400,da_er6nrk@hauts-de-seine,Subventions au titre de la politique de la ville,"<p>
	Montant des subventions départementales par bénéficiaire, accordées à partir de 2015, au titre de la politique de la ville, suite à la réforme de 2014 
</p>
<hr/>
<p class=""MsoNormal"" style=""text-align:justify"">L’intervention départementale en matière de politique de
la ville se traduit, d’une part par un soutien financier en faveur des
politiques locales conduites par les Villes en lien avec leurs partenaires au
sein des quartiers relevant de la géographie prioritaire, et d’autre part par
un soutien à l’Institut des Hauts-de-Seine pour le déploiement progressif du
réseau départemental de l’Ecole Française des Femmes et du dispositif Bus Santé
Femmes.</p><p class=""MsoNormal"" style=""text-align:justify"">Ainsi le Conseil départemental concentre ses crédits
« politique de la Ville » sur les 21 quartiers prioritaires répartis
sur 9 communes.</p><p class=""MsoNormal"" style=""text-align:justify"">Le jeu de données présente le montant des subventions
départementales par bénéficiaires depuis 2015 au titre de la politique de la
ville aussi bien en soutien des programmations communales qu’en soutien de
l’Institut des Hauts-de-Seine pour la mise en œuvre de ses 2 actions.</p><p class=""MsoNormal"" style=""text-align:justify"">Lorsque la subvention est votée pour une période
pluriannuelle, le montant indiqué correspond au montant annuel alloué.</p><p>















Ce jeu de donnée succède au jeu de données
détaillant les subventions départementales attribuées dans le cadre des CUCS,
jeu de données actif de 2009 à 2014.<br/></p>
<p><strong>Observations particulières</strong></p>
<p>
Lorsque la subvention est votée pour une période pluriannuelle, le montant indiqué correspond au montant annuel accordé.
</p>
<p><strong>Lexique</strong></p>
<dl>
<dt>CUCS</dt>
<dd>Contrats Urbains de Cohésion Sociale (2006-2014), ancienne dénomination des quartiers prioritaires de la politique de la ville.</dd>
</dl>
<p><strong>Données connexes</strong></p>
<p>
	Plateforme Open data du Département des Hauts-de-Seine
	<br/>
	<a alt=""Subventions au titre du Contrat Urbain de Cohésion Sociale (CUCS)"" href=""https://opendata.hauts-de-seine.fr/explore/dataset/subventions-au-titre-du-contrat-urbain-de-cohesion-sociale-cucs/"" target=""_blank"">Subventions au titre du Contrat Urbain de Cohésion Sociale (CUCS)</a>
</p>
"
401,da_golczy@centrevaldeloire,[Archive]Population par âge en 2013 et 2018 en Région Centre-Val de Loire,"<p class=""MsoNormal"">Ce jeu de données a été mis à jour avec le RP 2019. Voir : <a href=""https://data.centrevaldeloire.fr/explore/dataset/population-par-age-en-2013-et-2019-en-region-centre-val-de-loire/"" target=""_blank"">https://data.centrevaldeloire.fr/explore/dataset/population-par-age-en-2013-et-2019-en-region-centre-val-de-loire/</a><o:p></o:p></p><p>Population par grandes tranches d'âges en 2013 et 2018 des communes de la Région Centre-Val de Loire.</p><p>Géographie au 1er janvier 2021.</p><p>Ces résultats sont issus du recensement 2018.<br/></p><p>Tranches d'âges :</p><ul><li>0-14 ans</li><li>15-29 ans</li><li>30-44 ans</li><li>45-59 ans</li><li>60-74 ans</li><li>75-89 ans</li><li>90 ans et +</li></ul><p>Définitions et fiches conseil thématiques :</p><ul><li><a href=""https://insee.fr/fr/information/2383278#def_P"" target=""_blank"">https://insee.fr/fr/information/2383278#def_P</a><br/></li><li><a href=""https://www.insee.fr/fr/information/2383177"" target=""_blank"">https://www.insee.fr/fr/information/2383177</a><br/></li></ul><p>Le  recensement de la population permet de connaître la diversité et  l'évolution de la population de la France. L’Insee fournit ainsi des  statistiques sur les habitants et les logements, leur nombre et leurs  caractéristiques : répartition par sexe et âge, professions, conditions  de logement, modes de transport, déplacements domicile-travail, etc.</p><p>Les  effectifs supérieurs à 500 peuvent normalement être utilisés en toute  confiance. Les effectifs inférieurs à 200 doivent être maniés avec  précaution, car, en raison de l'imprécision liée au sondage, ils peuvent  ne pas être significatifs. Les comparaisons entre territoires de  petites tailles sont à proscrire.</p><p>Pour des zones de moins de 2 000  habitants, il est recommandé de ne pas utiliser les données issues de  l'exploitation complémentaire.</p><p>Pour plus d'information  méthodologique, vous pouvez consulter les fiches ""Conseils pour  l'utilisation des résultats du recensement"" en cliquant sur le lien :  <a href=""https://www.insee.fr/fr/information/2383177"" target=""_blank"">https://www.insee.fr/fr/information/2383177</a></p><p>Ces  fiches présentent les caractéristiques nouvelles du recensement de la  population et traitent de leurs conséquences sur l'utilisation des  données. Elles précisent en particulier les changements affectant les  principales variables statistiques et leur comparabilité avec les  recensements précédents.</p>"
